Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8
gene;accession;MCF7_DH_rep1;MCF7_DH_rep2;MCF7_DH_rep3;MCF10A_rep1;MCF10A_rep2;MCF10A_rep3
GSK3B;NM_001146156,NM_002093;2056;2602;1096;1515;1570;1948
IQCF3;NM_001085479,NM_001207023;0;0;0;0;0;0
GNG3;NM_012202;9;19.88;9;4;5;1.33
IAH1;NM_001039613;610;420;178;458;402;1011
CA7;NM_001014435,NM_005182;0;0;0;0;0;0
LINC00488;NR_026767;0;0;0;0;0;0
ZNF625-ZNF20;NR_037802;7.54;0;5.94;0;0;0
DTX4;NM_001300727,NM_015177;133;93;32;1341;2238;2281
DNAJC12;NM_021800,NM_201262;212;84;82;121;165;46
IRGM;NM_001145805;0;0;2;0;0;0
COX7A2;NM_001865,NR_029466;2206;1250;819;2793;1233;4245
MIR486-1;NR_030161;0;0;0;0;0;0
DOCK3;NM_004947;18;37;13;57;304;126
SMUG1;NM_001243787,NM_001243788,NM_001243789,NM_001243790,NM_001243791,NM_014311,NR_045039;493;365;145;166;170.14;483.04
BMS1P6;NR_024495,NR_024495_chr10:48185838_48203780;307.85;495.12;216.94;131.1;158.68;186.29
CABLES1;NM_001100619,NM_001256438,NM_138375,NR_023359;347;448;97;421;369;1114
RAMP1;NM_005855;79;58;22;1;4;1
LOC100287072;NR_073509;15.28;13.24;9.9;0;0;1.54
DAAM2;NM_001201427,NM_015345;6.02;1.01;2.02;13;26.2;7.11
PHF20L1;NM_001277196,NM_016018,NM_198513;1460;1335;713;1859;1175;2752
TNRC6A;NM_014494;1280;1720;690;1415;1659;2397
SIT1;NM_014450;0;1;0;0;0;0
LOC101928353;NR_125857;0;0;0;0;1;1
TNFSF11;NM_003701,NM_033012;1;0;0;0;0;4
CLCNKB;NM_000085,NM_001165945;0;1;0;0;10;7
GUSB;NM_000181,NM_001284290,NM_001293104,NM_001293105,NR_120531;1055.01;707.02;380;768.68;833.06;1276.01
MCOLN2;NM_153259;66;52;23;71.02;41;132
LINC01581;NR_120320;0;0;0;0;0;0
TRIM49C;NM_001195234;0;0.5;0;0;0;0
ZNF585B;NM_152279;131.53;132.57;89.93;44.51;195.37;77.92
HS6ST1;NM_004807;1480;992;527;447.92;1028;712
HS3ST5;NM_153612;24;25;21;1;0;0
ZRANB2-AS1;NR_038420;13.79;38.8;11.4;13.86;3.55;21.08
NR2F1-AS1;NR_021490,NR_021491,NR_109818,NR_109819,NR_109820,NR_109821,NR_109822,NR_109823,NR_109824,NR_109825;0;0;0;30;17.05;79
POLR3E;NM_001258033,NM_001258034,NM_001258035,NM_001258036,NM_018119,NR_047581;754;565;299;790;729;2196
USP6NL;NM_001080491,NM_014688,NR_125732;814;789;361;506.02;690.1;909.15
CCDC87;NM_018219;25;20;9;4;5;11
MIR4299;NR_036184;0;0;0;0;0;0
MIR183;NR_029615;0;0;0;0;0;0
SDHA;NM_001294332,NM_004168;3215.48;2390.38;1186.68;3255.48;2811.02;5742.98
ECE1;NM_001113347,NM_001113348,NM_001113349,NM_001397;2648;1623;1240;1739.04;3109.4;2289.02
IRX6;NM_024335;0;0;2;4;6;8
ZNF783;NM_001195220;379;442.44;163.22;307.59;499;908.81
NCS1;NM_001128826,NM_014286;829;553;245;232;330;1313
GDPGP1;NM_001013657;41;44;15;31;68;67
CAV3;NM_001234,NM_033337;4;0;1;0;0;0
MIR1293;NR_031625;0;0;0;0;0;0
PCDHB11;NM_018931;54.96;57.11;36.32;0;2.18;4
ATP6V0C;NM_001198569,NM_001694;539;574;280;734;598;1976
BMP10;NM_014482;0;0;0;0;0;0
SPRN;NM_001012508;137;162.92;58;27.04;41;60
GPR50;NM_004224;0;0;0;0;0;0
SYT11;NM_152280;2;3;1;5;1;4
SUMF1;NM_001164674,NM_001164675,NM_182760;738;492;329;913;952;1362
GAS8-AS1;NR_122031;41;56;33;19;18;24
SKIV2L;NM_006929;1022.31;719;381;646;851;1484.33
HERPUD2;NM_022373;331;358;151;786;622;1632.01
LOC101928150;NR_120634;1.02;0;1;0.22;0;0
MARCH3;NM_178450;69;53;14;75;39;93
SLC22A16;NM_033125;0;0;0;0;0;0
MOGAT2;NM_025098;0;0;0;0;8;1
KBTBD3;NM_152433,NM_198439;37;28;19;119;109;111
MYC;NM_002467;1862;1244;835;1200;1723;7096
BCL10;NM_003921;422;365;208.93;862.97;674.93;1581.09
MRPL51;NM_016497;1216;749;311;1280;692;2439
LINC01222;NR_110525;0;0;0;0;0;0
MIR2682;NR_039604;0;0;0;0;0;0
PTPLAD1;NM_016395;5194;3273;2231;1917;1759;1585
UBN2;NM_173569;1072;1364.26;599.33;720.01;1078.13;800.99
MIR4723;NR_039875;0;0;0;0;0;0
MIR133A1HG;NR_110369;45;73;41;19;7;10
MIR4748;NR_039903;0;0;0;0;0;0
C22orf34;NM_001289922,NR_110522,NR_110523;0;0;0;0;0;0
SCT;NM_021920;0;0;0;0;0;0
LINC01475;NR_120618;0;0;0;0;0;0
ZNF597;NM_152457;196;202;103;96;150;174
CPSF2;NM_017437;2665;1904;993;2944.96;1770.61;4462.24
LOC102477328;NR_105007;0;0;0;0;2;0
BDKRB2;NM_000623;355;81;226;25;570;20
MIR5586;NR_049851;0;0;0;0;0;0
DEFB108B;NM_001002035;0;0;0;0;0;0
MIR325HG;NR_110400,NR_110401,NR_110402,NR_110403,NR_110404,NR_110405,NR_110406;0;2;1;0;0;0
RAD50;NM_005732;1406;1673;769;3376;2873;6268
FGF13;NM_001139498,NM_001139500,NM_001139501,NM_001139502,NM_004114,NM_033642;146;166;58;23;4;33
STMN1;NM_001145454,NM_005563,NM_203399,NM_203401;2136;1718;550;3222.14;241.01;5861.91
SPATA5L1;NM_024063,NR_027635;228;141;83;185;152;523
CHRD;NM_003741;64;63;40;0;28;0
LOC339807;NR_034023;0;1;0;0;0;0
SNORD113-5;NR_003233;0;0;0;0;0;0
SSH2;NM_001282129,NM_001282130,NM_001282131,NM_033389;427;529;217;487;951;580
MIR4495;NR_039716;0;0;0;0;0;0
DMXL2;NM_001174116,NM_001174117,NM_015263;2942;3436;1667;1283;1613;1740
RPL3L;NM_005061;0;0;0;0;2;0
UBE2L3;NM_001256355,NM_001256356,NM_003347,NR_028436,NR_046082;1394.37;931.27;480;1545;1140;3425
AGBL5-AS1;NR_046730;0;1;0;1;1;0
ZNF165;NM_003447;175;165;78;108;79;173
JUND;NM_001286968;1022;963;377;576;909;1915
AXIN2;NM_004655;90;24;35;0;0;0
HTR3C;NM_130770;1;0;0;0;0;0
ATXN3;NM_001127696,NM_001127697,NM_001164774,NM_001164776,NM_001164777,NM_001164778,NM_001164779,NM_001164780,NM_001164781,NM_001164782,NM_004993,NM_030660,NR_028453,NR_028454,NR_028455,NR_028456,NR_028457,NR_028458,NR_028459,NR_028460,NR_028461,NR_028462,NR_028463,NR_028464,NR_028465,NR_028466,NR_028467,NR_028468,NR_028469,NR_028470,NR_031765;643;680;268;712.17;516.14;855.07
EPHX3;NM_001142886,NM_024794;1;2;1;1;1;4
SPPL2B;NM_001077238,NM_152988;284;222;100;146;297;458
ATG7;NM_001136031,NM_001144912,NM_006395;768.22;571.92;263.94;546.49;597.99;860.92
FOXO3B;NR_026718;159.35;146.27;68.88;58.67;99.54;97.83
